fighter_id,name,height,weight,reach,age,image_path,stance_orthodox,stance_southpaw,weight_class_featherweight,weight_class_heavyweight,weight_class_light_heavyweight,weight_class_lightweight,weight_class_middleweight,weight_class_unknown,weight_class_welterweight
54,Abu Azaitar,4.5,83.9,4.73,30,static/images/default_fighter.jpg,True,False,False,False,False,False,False,True,False
55,Siyar Bahadurzada,4.57,77.1,4.8,30,static/images/default_fighter.jpg,True,False,False,False,False,False,False,True,False
56,Humberto Bandenay,4.7,65.8,4.94,30,static/images/default_fighter.jpg,True,False,False,False,False,False,False,True,False
57,Tae Hyun Bang,4.44,70.3,4.66,30,static/images/default_fighter.jpg,True,False,False,False,False,False,False,True,False
58,Renan Barao,4.24,61.2,4.45,30,static/images/default_fighter.jpg,True,False,False,False,False,False,False,True,False
59,Maycee Barber,4.19,52.2,4.4,30,static/images/default_fighter.jpg,True,False,False,False,False,False,False,True,False
60,Bryan Barberena,4.62,77.1,4.85,30,static/images/default_fighter.jpg,True,False,False,False,False,False,False,True,False
61,Edson Barboza,4.57,70.3,4.8,30,static/images/default_fighter.jpg,True,False,False,False,False,False,False,True,False
62,Raoni Barcelos,4.32,65.8,4.54,30,static/images/default_fighter.jpg,True,False,False,False,False,False,False,True,False
63,Josh Barnett,4.83,113.4,5.07,30,static/images/default_fighter.jpg,True,False,False,False,False,False,False,True,False
64,Enrique Barzola,4.32,65.8,4.54,30,static/images/default_fighter.jpg,True,False,False,False,False,False,False,True,False
65,Mirsad Bektic,4.37,65.8,4.59,30,static/images/default_fighter.jpg,True,False,False,False,False,False,False,True,False
66,Vitor Belfort,4.62,83.9,4.85,30,static/images/default_fighter.jpg,True,False,False,False,False,False,False,True,False
67,Marco Beltran,4.37,56.7,4.59,30,static/images/default_fighter.jpg,True,False,False,False,False,False,False,True,False
68,Joseph Benavidez,4.11,56.7,4.32,30,static/images/default_fighter.jpg,True,False,False,False,False,False,False,True,False
69,Gabriel Benitez,4.37,65.8,4.59,30,static/images/default_fighter.jpg,True,False,False,False,False,False,False,True,False
70,Ryan Benoit,4.19,56.7,4.4,30,static/images/default_fighter.jpg,True,False,False,False,False,False,False,True,False
71,Keith Berish,4.62,83.9,4.85,30,static/images/default_fighter.jpg,True,False,False,False,False,False,False,True,False
72,Dennis Bermudez,4.24,65.8,4.45,30,static/images/default_fighter.jpg,True,False,False,False,False,False,False,True,False
73,Manny Bermudez,4.5,61.2,4.73,30,static/images/default_fighter.jpg,True,False,False,False,False,False,False,True,False
74,Talita Bernardo,4.11,61.2,4.32,30,static/images/default_fighter.jpg,True,False,False,False,False,False,False,True,False
75,Anton Berzin,4.75,93.0,4.99,30,static/images/default_fighter.jpg,True,False,False,False,False,False,False,True,False
